Índice,Valor (rad/s),Error (rad/s),m₁,Δm₁,m₂,Δm₂,k₁,Δk₁,k₂,Δk₂,k₃,Δk₃
ω₁,5.8,0.1,0.2993,0.0005,0.2986,0.0005,9.34,0.05,9.04,0.05,9.5,0.1
ω₂,5.79,0.06,0.2993,0.0005,0.2986,0.0005,9.34,0.05,9.04,0.05,9.5,0.1
ω₃,10.0,0.5,0.2993,0.0005,0.2986,0.0005,9.34,0.05,9.04,0.05,9.5,0.1
ω₄,10.10,0.46,0.2993,0.0005,0.2986,0.0005,9.34,0.05,9.04,0.05,9.5,0.1
ω₅,14.4,0.2,0.2993,0.0005,0.2986,0.0005,61.9,0.4,62.4,0.5,67.9,0.6
ω₆,14.4,0.2,0.2993,0.0005,0.2986,0.0005,61.9,0.4,62.4,0.5,67.9,0.6
ω₇,25.0,2.0,0.2993,0.0005,0.2986,0.0005,61.9,0.4,62.4,0.5,67.9,0.6
ω₈,25.0,6.0,0.2993,0.0005,0.2986,0.0005,61.9,0.4,62.4,0.5,67.9,0.6
ω₉,14.0,4.0,0.2993,0.0005,0.2986,0.0005,67.9,0.4,61.9,0.05,9.04,0.6
ω₁₀,25.0,15.0,0.2993,0.0005,0.2986,0.0005,67.9,0.4,61.9,0.05,9.04,0.6
ω₁₁,14.0,6.0,0.2993,0.0005,0.2986,0.0005,67.9,0.4,61.9,0.05,9.04,0.6
ω₁₂,29.0,17.0,0.2993,0.0005,0.2986,0.0005,67.9,0.4,61.9,0.05,9.04,0.6
ω₁₃,6.0,1.0,0.2993,0.0005,0.2986,0.0005,9.34,0.05,9.04,0.05,9.5,0.1
ω₁₄,11.0,4.0,0.2993,0.0005,0.2986,0.0005,9.34,0.05,9.04,0.05,9.5,0.1
ω₁₅,7.0,3.0,0.2993,0.0005,0.2986,0.0005,9.34,0.05,9.04,0.05,9.5,0.1
ω₁₆,10.0,3.0,0.2993,0.0005,0.2986,0.0005,9.34,0.05,9.04,0.05,9.5,0.1
ω₁₇,14.0,2.0,0.3993,0.0005,0.1986,0.0005,61.9,0.4,62.4,0.5,67.9,0.6
ω₁₈,28.0,8.0,0.3993,0.0005,0.1986,0.0005,61.9,0.4,62.4,0.5,67.9,0.6
ω₁₉,14.0,2.0,0.3993,0.0005,0.1986,0.0005,61.9,0.4,62.4,0.5,67.9,0.6
ω₂₀,27.0,4.0,0.3993,0.0005,0.1986,0.0005,61.9,0.4,62.4,0.5,67.9,0.6
ω₁_teo,5.6133,0.0169,0.2993,0.0005,0.2986,0.0005,9.34,0.05,9.04,0.05,9.5,0.1
ω₂_teo,9.5912,0.0208,0.2993,0.0005,0.2986,0.0005,9.34,0.05,9.04,0.05,9.5,0.1
ω₃_teo,14.7255,0.0412,0.2993,0.0005,0.2986,0.0005,61.9,0.4,62.4,0.5,67.9,0.6
ω₄_teo,25.1959,0.0723,0.2993,0.0005,0.2986,0.0005,61.9,0.4,62.4,0.5,67.9,0.6
ω₅_teo,10.3211,0.0722,0.2993,0.0005,0.2986,0.0005,67.9,0.4,61.9,0.05,9.04,0.6
ω₆_teo,23.764,0.0288,0.2993,0.0005,0.2986,0.0005,67.9,0.4,61.9,0.05,9.04,0.6
ω₇_teo,14.2457,0.0360,0.3993,0.0005,0.1986,0.0005,61.9,0.4,62.4,0.5,67.9,0.6
ω₈_teo,27.6486,0.0847,0.3993,0.0005,0.1986,0.0005,61.9,0.4,62.4,0.5,67.9,0.6
